Персонаж;PS;SW;WL;CR;PO;LD;PR;AM;BR;AL;ST;HL;AG;DL;CU;RS;LO;IN;DS;SG;DP;CH;RV;CE;ED;RB;RK;FG;IF;AD
Ар’я Старк;12;40;13;34;4;18;32;40;46;13;5;13;6;19;14;19;26;17;18;10;3;4;32;25;16;21;32;26;5;9
Санса Старк;3;11;18;26;30;25;7;25;1;9;22;38;8;26;37;27;18;30;26;36;40;31;11;4;31;33;12;20;34;32
Бран Старк;1;4;8;19;9;2;16;1;3;7;23;24;3;32;16;28;30;6;27;18;6;5;12;1;37;12;1;33;16;15
Серсея Ланністер;19;12;44;42;43;32;6;41;19;6;44;39;33;21;41;20;6;42;21;40;31;24;16;17;36;47;24;5;46;19
Джейме Ланністер;32;45;38;12;24;9;3;19;12;29;35;22;31;22;24;23;28;21;23;22;22;21;36;46;24;19;39;28;28;25
Тіріон Ланністер;2;20;37;7;41;38;18;21;5;38;25;25;27;34;42;31;22;31;28;46;43;37;17;15;43;26;13;27;40;45
Сандор Кліган;39;31;4;39;3;7;29;3;7;16;4;21;35;8;3;11;13;10;11;6;2;2;43;44;5;17;19;22;4;4
Грегор Кліган;45;24;6;44;1;1;13;4;26;3;9;2;34;2;1;2;5;7;4;1;1;1;42;36;1;30;21;6;2;2
Дейнеріс;5;18;29;41;18;39;37;45;21;21;46;47;10;15;33;14;21;47;13;32;37;47;34;13;26;37;34;16;43;35
Варес;21;17;25;11;40;3;9;32;2;33;29;3;29;43;43;44;23;16;38;41;42;18;18;9;44;28;8;24;36;44
Джон Сноу;24;29;3;28;37;46;44;16;41;44;24;40;15;28;29;29;42;41;35;35;29;40;37;32;22;15;33;39;37;34
Тормунд;40;22;1;18;14;15;24;9;31;25;3;33;26;4;10;5;27;24;5;11;25;33;46;28;3;18;37;30;9;27
Брієнна Тарт;42;30;9;10;6;24;42;18;45;41;7;27;22;30;7;34;43;22;36;9;4;10;39;37;11;9;22;40;10;11
Нед Старк;25;34;39;5;25;45;45;14;34;46;39;26;39;41;23;38;47;19;46;34;20;28;13;41;34;6;18;45;38;21
