Kelly_table2
Таблиця 1;;;;;;;;;;
;Фізично слабкий - фізично сильний;Поганий мечник - хороший мечник;Бідний - багатий;Милосердний -жорстокий;Політично недосвідчений — політично вправний;Не схильний до лідерства - сильний лідер;Безпринципний - принциповий;Неамбіційний — амбіційний;Боягузливий - сміливий;Егоїстичний - альтруїстичний
Ар’я Старк;5;11;6;8;3;7;10;10;12;5
Санса Старк;3;2;7;6;8;8;3;8;1;4
Бран Старк;1;1;5;5;4;2;6;1;3;3
Серсея Ланністер;6;3;12;11;12;9;2;11;7;2
Джейме Ланністер;9;12;11;3;7;5;1;6;6;9
Тіріон Ланністер;2;6;10;1;11;10;7;7;4;11
Сандор Кліган;10;10;3;9;2;4;9;2;5;6
Грегор Кліган;12;8;4;12;1;1;5;3;9;1
Дейнеріс;4;5;9;10;6;11;11;12;8;7
Варес;7;4;8;2;10;3;4;9;2;10
Джон Сноу;8;9;2;7;9;12;12;5;11;12
Тормунд;11;7;1;4;5;6;8;4;10;8
